year,AverageTemperature
1743,4.882423512747878
1744,10.734046919263443
1745,1.4975927762039645
1750,9.872808244930848
1751,10.04673873707536
1752,4.253063583815017
1753,9.452665778961395
1754,9.364699884659704
1755,8.825222310666287
1756,9.732708362128546
1757,9.519407968574614
1758,8.64849357798168
1759,9.691045464270381
1760,8.798937674834935
1761,9.794437908496736
1762,9.372744063926891
1763,8.744660119457896
1764,9.814161742555912
1765,9.386765923925285
1766,9.541004555555583
1767,9.09367706113292
1768,8.85444051172705
1769,9.447378129681134
1770,9.509911538461564
1771,9.438601388888905
1772,9.945822709163325
1773,10.043391529259706
1774,9.538027639027595
1775,10.574010810243477
1776,9.41226826142676
1777,9.232807058326298
1778,9.375036546729975
1779,9.73240779695898
1780,9.469317456673972
1781,10.016636601834216
1782,8.950201793270251
1783,9.7689316789215
1784,9.106745936877417
1785,8.810571953835083
1786,9.032166767432507
1787,9.96787385250127
1788,9.710807723009376
1789,9.814777118560245
1790,10.031054267542011
1791,10.422602746396631
1792,9.941539370460058
1793,10.058175030599822
1794,10.50207151576808
1795,9.735600683654487
1796,15.137766662187722
1797,15.160372865680054
1798,14.720698255071586
1799,14.708681763284906
1800,15.258411361805004
1801,14.867708321418423
1802,15.754577093994017
1803,15.199810572983067
1804,15.552923787838116
1805,14.850211869556436
1806,15.432511952998494
1807,14.505044966346844
1808,9.240388074583718
1809,9.316521223529431
1810,9.382670348343272
1811,10.092118890977432
1812,8.767334210765144
1813,14.336579349664811
1814,13.563461861396398
1815,14.02943173478421
1816,14.266152702062088
1817,14.625925776522804
1818,15.09128708775195
1819,14.893161167800542
1820,14.348332056601711
1821,14.435909367518043
1822,14.784790461771372
1823,14.349090822323763
1824,15.04204427016145
1825,16.330363461881735
1826,15.007845728770459
1827,15.186842795200157
1828,14.812082922946802
1829,13.971163343064754
1830,14.205239143920446
1831,13.81094755877038
1832,13.774887593394604
1833,15.01707858596121
1834,15.288224724809456
1835,14.575386599180588
1836,14.786311012026374
1837,14.519746852165458
1838,14.669772762967469
1839,15.286412381544281
1840,15.495474925725743
1841,15.511865932169673
1842,15.551532776955163
1843,15.789382175027951
1844,14.884832278705995
1845,15.106487552623497
1846,15.911679020582241
1847,15.348561618435935
1848,15.202868493611136
1849,15.48702558419362
1850,16.192064678766982
1851,16.584894548043316
1852,16.387710304077515
1853,16.38173468084524
1854,16.647173072693242
1855,16.46670889612127
1856,16.45334062704951
1857,16.07523581889033
1858,15.975535939365487
1859,16.449035161325206
1860,15.953020206753894
1861,16.01338229625556
1862,14.154211931689167
1863,15.044016863248176
1864,14.841465776647555
1865,15.930115559129307
1866,16.29630798908695
1867,16.260087739750777
1868,16.519711982131714
1869,16.564221605894883
1870,16.655101252472186
1871,16.38822215792497
1872,16.715643718949664
1873,16.971629533414816
1874,17.037570996298605
1875,16.875182291920154
1876,17.083622405424727
1877,17.42229722678523
1878,17.620437259969663
1879,17.026344372005564
1880,17.177439988417515
1881,17.15488325167149
1882,17.18547378552014
1883,17.005380314600224
1884,16.767088266037973
1885,16.7239610195652
1886,17.06496672903468
1887,17.03878874186471
1888,17.07719300988612
1889,17.24816588987092
1890,17.243240356296063
1891,17.19570928961738
1892,17.14275759739171
1893,16.905717023299943
1894,17.32285942545093
1895,17.206135493827016
1896,17.413317497625776
1897,17.480887654320938
1898,17.480181105169436
1899,17.553389529914508
1900,17.62251130104462
1901,17.469447222222012
1902,17.442241547958094
1903,17.381778632478813
1904,17.198060137701628
1905,17.291567022792123
1906,17.43564458689442
1907,17.14037217473887
1908,17.218217188984053
1909,17.26935075973418
1910,17.28451160968672
1911,17.35975681386518
1912,17.292802564102693
1913,17.415246248812895
1914,17.674071581196305
1915,17.648137393162337
1916,17.45001780626797
1917,17.032358523266723
1918,17.335453751187053
1919,17.46953238366577
1920,17.498858309591725
1921,17.67212640075949
1922,17.531446699905135
1923,17.529943399810154
1924,17.4407323599242
1925,17.531972103513628
1926,17.665183618233588
1927,17.60234297245982
1928,17.652286894587043
1929,17.3925877730293
1930,17.732781695156596
1931,17.63577867996213
1932,17.71726797245955
1933,17.428404249762437
1934,17.69505942545137
1935,17.647516001899152
1936,17.64743656220273
1937,17.764566761633247
1938,17.854721082620987
1939,17.81035956790125
1940,17.59050398860403
1941,17.82219781576461
1942,17.66152659069338
1943,17.749479819563124
1944,17.73079698480538
1945,17.607762321937095
1946,17.9344333570746
1947,17.790526566951716
1948,17.912139363722954
1949,17.859298409306792
1950,17.679402041785483
1951,17.821102991452765
1952,17.829925949667754
1953,17.976885018992935
1954,17.684173456790525
1955,17.71472136752141
1956,17.30505189933512
1957,17.798230199430158
1958,17.997430650522425
1959,18.002708618233804
1960,17.900933879392245
1961,18.029934377967923
1962,17.727212203229104
1963,17.738177967711156
1964,17.655022554605655
1965,17.623809947768518
1966,17.971467331433985
1967,17.752271581196457
1968,17.63904843304849
1969,17.683528846153656
1970,17.779190337131947
1971,17.653380246913663
1972,17.762622792022814
1973,17.972550474833735
1974,17.704323741690516
1975,17.872018209876515
1976,17.496270821462414
1977,17.98838029439696
1978,17.768577943969582
1979,17.961801377017924
1980,17.840025403608685
1981,17.94437431149103
1982,17.955699382715906
1983,18.094130769230546
1984,17.750914672364456
1985,17.760221391263265
1986,17.87824582146257
1987,18.093332953466135
1988,18.121301566951473
1989,18.139926305793
1990,18.43835826210822
1991,18.111251756885068
1992,18.01537882241198
1993,17.942709829059634
1994,18.34565358499536
1995,18.328775546058846
1996,17.91426255935398
1997,18.23427376543202
1998,18.68251429249763
1999,18.484275522317304
2000,18.383936514720133
2001,18.456090384614946
2002,18.664708262108096
2003,18.478554131054022
2004,18.494878133903
2005,18.451510232668742
2006,18.60447200854712
2007,18.68694059829068
2008,18.445346604938134
2009,18.601106101614416
2010,18.553508452041584
2011,18.39331464862309
2012,18.525968518518642
2013,19.0610381136047
